1010;32.526;28;16;1126
1013;14;18;23;350
1022;32;48;15;0
1028;20;25;16;400
1030;20;30;18;1100
1031;30;27;21;1080
1036;23;50;18;850
1037;27;55;17;500
1039;28;26;18;1100
1040;27;45;14;750
1042;21;30;19;900
1060;0.003;80;20;1100
1065;40;45;20;600
1079;2.6;29;19;250
1082;25;70;19;200
1091;25;40;18;600
1096;20;40;18;250
1103;16;35;17.5;1560
1104;25;23;18;700
1109;20;45;16;500
1127;24;50;14;640
1131;0.013;20;18;1500
1133;20;30;16;1000
1135;30;27;15;500
1136;26;60;23;500
1139;33;52;18;605
1157;25;45;18;300
1159;29;28;17;1500
1165;23.5;45;18.5;890
1167;20;50;21;6000
1169;25;20;15;200
1185;35;30;15;800
1187;27;55;20;300
1188;10.5;45;19;650
1194;30;28;21;3000
1197;30;35;21;500
1204;30;26;19;701
1208;20;38;14;1250
1209;22;35;16;686
1211;14;50;22;200
1212;30;30;19;950
1217;20;40;14;1350
1221;20;30;16;1200
1223;0.014;20;22;400
1234;21;28;19;780
1235;31;25;16;945
1237;20;25;20;1200
1242;26;30;21;200
1249;35;60;14;300
1252;25;26;18;800
1253;13;53;23;400
1259;26;50;19;690
1261;10;50;18;700
1263;27;40;18;1250
1264;23;45;20;800
1266;22;18;19;800
1267;20;45;19;400
1276;26;85;14;492
1279;14;50;18;350
1291;30;50;17;700
