1010;1000;100;10;0.5
1022;10000;400;200;30
1031;3500;300;150;5
1033;4000000;540;80;0.01
1036;1000;320;80;25
1059;20000;400;270;33
1064;50000;1000;70;0.5
1065;350000000;100;60;10
1071;2000000;1000;100;5
1075;1000;250;500;20
1081;300;300;60;10
1082;15000;250;80;0
1096;500000;250;70;20
1097;1000000000;300;75;35
1103;10000000;200;70;8
1114;250000;280;150;5
1123;5000000;350;120;150
1133;600000;400;100;10
1135;365000;600;60;4
1150;120;50;200;30
1166;300000;250;60;1
1169;30000;200;80;10
1174;100000;300;60;2
1176;3000000;1000;200;6
1192;300000;1000;110;5
1197;400000;500;80;10
1205;7000;300;10;5
1206;3000000;500;30;5
1212;2000000;400;100;20
1213;400000;700;200;0.5
1235;400000;275;120;0.3
1237;18000;350;25;10
1241;500000;300;90;5
1242;10000;200;150;2.5
1244;400000;800;60;10
1249;1000000000;40;50;50
1276;1000000;200;100;0.5
1279;2000000;500;50;1
