1010;1000000;450;100;18
1022;1000000;400;100;15
1031;1500000;450;125;3.5
1033;700000;540;80;16
1036;2000000;400;70;7
1059;1000000;450;75;21
1064;600000;500;70;20
1065;1000000;400;60;6
1071;700000;900;70;20
1075;1000000;250;80;2
1081;700000;400;80;20
1082;900000;800;65;1
1096;1000000;300;80;1
1097;600000;300;75;10
1103;2500000;800;70;15
1114;1000000;500;80;5
1123;3000000;350;80;5
1133;545000;500;70;21
1135;700000;600;80;7
1150;1000000;250;80;20
1166;3000000;500;75;6
1169;650000;450;75;21
1174;700000;600;80;3
1176;2000000;500;80;6
1192;1200000;700;75;8
1197;700000;480;85;7
1205;1000000;380;80;5
1206;3000000;500;60;6
1212;700000;442;72;21
1213;1000000;450;100;1.5
1235;1000000;350;100;20
1237;1000000;450;120;4
1241;700000;300;80;5
1242;1000000;400;85;20
1244;500000;1000;60;5
1249;1000000;400;60;20
1276;1000000;500;100;2.5
1279;1000000;500;60;20
