1010;5000;100;10;2000000
1013;13000;100;5;1000000
1019;876000;36.5;2.5;28000000
1020;600000;100;250;1000000
1022;2000;60;10;5000000
1023;1000000;300;10;10000000
1031;30000;45;0.3;10000000
1032;60000;50;25;12000000
1033;3626.37;56;0.21;56000000
1036;5000;800;8;300000
1040;20000;45;80;4000000
1050;10000;20;15;2000000
1059;500000;50;5000;10000000
1064;500;100;3;5000000
1065;1800000;150;3;10000000
1071;100000;2000;5;1000000
1073;700;50;70;5000000
1081;1500;50;4;3000000
1082;50000;70;2.7;1700000
1083;3000000;50;7;11000000
1096;70000;35;8;1000000
1097;300000;30;10;2000000
1103;70000;60;0;6000000
1104;300000;80;10;1000000
1110;2000;60;3.14;10000000
1112;30000;400;7;5000000
1114;2500000;200;15;3000000
1123;10000;20;1.2;4000000
1125;20000;30;73;10000000
1130;10000;100;5;6000000
1133;365000;50;3;4000000
1134;1000000;60;15;10000000
1135;100000;100;10;2000000
1144;80000;250;3;100000
1148;100000;2000;10;3500000
1166;60000;60;40;10000000
1174;10000;10000;10;20000000
1176;1200000;700;150;650000000
1179;27000;250;120;200000
1181;1000000;100;5;1200000
1186;40000;80;15;2800000
1187;100000;200;50;1000000
1192;30000;40;12;2000000
1195;36000;300;325;10000000
1197;10001;349;31;10000001
1205;1000000;200;20;10000000
1206;900000;30;7;20000000
1210;1100000;100;4;1300000
1212;2000000;50;20;300000
1213;10000;50;3;30000000
1216;15000;200;90;3310000
1217;100000;50;5;300000
1229;1800000;100;2;2000000
1234;10000;20;10;10000000
1235;50000;59;15;4000000
1237;100000;1000;2;30000000
1239;1000000;100;2;20000000
1241;777000;80;12;10000000
1242;5000000;70;15;2800000
1244;200000;43;60;60000000
1249;36500;60;12;3000000
1251;10000;70;5;1000000
1253;100000;300;5;10000000
1254;52000;30;512;500000
1259;50000;250;40;300000
1261;874;1796;3.14;100001
1263;40000;300;5;30000000
1276;3650;50;50;1000000
1278;900000;75;9;7000000
1279;8000;120;125;20000000
1282;100000;20;600;3000000
1287;150000;85;13;11000000
