1010;5000;100;10;2000000
1013;1100000;55;2.5;1500000
1019;800000;37.5;2.5;3000000
1020;653223;73;0.821;3140000
1022;100000;60;5;4000000
1023;1000000;300;5;3000000
1031;50000;70;3;2000000
1032;1000000;50;25;20000000
1033;1126.53;56;0.56;4500001
1036;160000;200;10;10000000
1040;1100000;56;2.8;3700000
1050;50000;30;12;2000000
1059;500000;60;2;4000000
1064;1000;75;1;4000000
1065;1800000;150;3;2000000
1071;1000000;500;5;3700000
1073;20000;60;1.2;3000000
1081;1500;40;6;7000000
1082;140000;54;43;3800000
1083;100000;50;4;3000000
1096;70000;35;7;1000000
1097;1000000;60;10;3800000
1103;1000000;60;2;3000000
1104;300000;80;15;1000000
1110;2000;60;4;3000000
1112;300000;400;7;10000000
1114;250000;100;15;3000000
1123;50000;70;1.2;5000000
1125;20000;40;85;43000000
1130;500000;70;5;9000000
1133;500000;50;3;3800000
1134;1200000;70;10;2500000
1135;100000;70;8;5000000
1144;1174735;48.5;6.48;3813113
1148;100000;50;0.5;3800000
1166;600000;60;2;500000
1174;10000;300;10;3000000
1176;1600000;800;7;600000
1179;1575000;250;4.5;600000
1181;10000000;70;5;3800000
1186;40000;80;15;2800000
1187;100000;200;50;1000000
1192;100000;45;5;3800000
1195;3000000;70;4;4000000
1197;10001;371;31;16000000
1205;5000;200;10;3000000
1206;1000000;25;7;2000000
1210;1100000;50;3;1500000
1212;1000000;60;5;3000000
1213;10000;50;3;30000000
1216;35000;90;0.8;2000000
1217;1100000;55;3;800000
1229;1800000;45;6.48;3200000
1234;1000000;70;10;3800000
1235;50000;58;5;3400000
1237;100000;1000;2.5;15000000
1239;1500000;50;3;3500000
1241;1600000;72;8;2000000
1242;1000000;70;5;2800000
1244;200000;43;7;10000000
1249;500000;60;1;3000000
1251;1100000;70;5;1800000
1253;1300000;120;2.5;3000000
1254;100000;45;13;500000
1259;500000;250;45;300000
1261;5000;120;5;2000000
1263;50000;300;10;1000000
1276;3650;50;50;1000000
1278;210000;52;3.4;3000000
1279;160000;200;10;20000000
1282;80000;55;8;2800000
1287;150000;60;9;2700000
